Id	Condition	Filename
Input-1	Input	/pacific/home/ioerger/TRASH/macrophages/Input-1_raw_templates.wig
Input-2	Input	/pacific/home/ioerger/TRASH/macrophages/Input-2_raw_templates.wig
Input-3	Input	/pacific/home/ioerger/TRASH/macrophages/Input-3_raw_templates.wig
Input-4	Input	/pacific/home/ioerger/TRASH/macrophages/Input-4_raw_templates.wig
Untreated1	Untreated	/pacific/home/ioerger/TRASH/macrophages/Untreated1_raw_templates.wig
Untreated2	Untreated	/pacific/home/ioerger/TRASH/macrophages/Untreated2_raw_templates.wig
Untreated3	Untreated	/pacific/home/ioerger/TRASH/macrophages/Untreated3_raw_templates.wig
Tcell1	Tcell	/pacific/home/ioerger/TRASH/macrophages/Tcell1_raw_templates.wig
Tcell2	Tcell	/pacific/home/ioerger/TRASH/macrophages/Tcell2_raw_templates.wig
Tcell3	Tcell	/pacific/home/ioerger/TRASH/macrophages/Tcell3_raw_templates.wig
Tcell4	Tcell	/pacific/home/ioerger/TRASH/macrophages/Tcell4_raw_templates.wig
Rapamycin1	Rapa	/pacific/home/ioerger/TRASH/macrophages/Rapamycin1_raw_templates.wig
Rapamycin2	Rapa	/pacific/home/ioerger/TRASH/macrophages/Rapamycin2_raw_templates.wig
Rapamycin3	Rapa	/pacific/home/ioerger/TRASH/macrophages/Rapamycin3_raw_templates.wig
IL1-1	IL1	/pacific/home/ioerger/TRASH/macrophages/IL1-1_raw_templates.wig
IL1-2	IL1	/pacific/home/ioerger/TRASH/macrophages/IL1-2_raw_templates.wig
IL1-3	IL1	/pacific/home/ioerger/TRASH/macrophages/IL1-3_raw_templates.wig
IFNg1	IFNg	/pacific/home/ioerger/TRASH/macrophages/IFNg1_raw_templates.wig
IFNg2	IFNg	/pacific/home/ioerger/TRASH/macrophages/IFNg2_raw_templates.wig
IFNg3	IFNg	/pacific/home/ioerger/TRASH/macrophages/IFNg3_raw_templates.wig
GMCSF1	GMCSF	/pacific/home/ioerger/TRASH/macrophages/GMCSF1_raw_templates.wig
GMCSF2	GMCSF	/pacific/home/ioerger/TRASH/macrophages/GMCSF2_raw_templates.wig
GMCSF3	GMCSF	/pacific/home/ioerger/TRASH/macrophages/GMCSF3_raw_templates.wig
IFNg-GMCSF1	IFNg-GMCSF	/pacific/home/ioerger/TRASH/macrophages/IFNg-GMCSF1_raw_templates.wig
IFNg-GMCSF2	IFNg-GMCSF	/pacific/home/ioerger/TRASH/macrophages/IFNg-GMCSF2_raw_templates.wig
IFNg-GMCSF3	IFNg-GMCSF	/pacific/home/ioerger/TRASH/macrophages/IFNg-GMCSF3_raw_templates.wig
IFNab1	IFNab	/pacific/home/ioerger/TRASH/macrophages/IFNab1_raw_templates.wig
IFNab2	IFNab	/pacific/home/ioerger/TRASH/macrophages/IFNab2_raw_templates.wig
IFNab3	IFNab	/pacific/home/ioerger/TRASH/macrophages/IFNab3_raw_templates.wig
