GO:1901575	organic substance catabolic process	Rv0062 Rv0074 Rv0118c Rv0126 Rv0183 Rv0220 Rv0222 Rv0262c Rv0363c Rv0406c Rv0410c Rv0462 Rv0468 Rv0478 Rv0489 Rv0564c Rv0584 Rv0618 Rv0619 Rv0646c Rv0648 Rv0654 Rv0669c Rv0727c Rv0751c Rv0754 Rv0766c Rv0773c Rv0778 Rv0785 Rv0805 Rv0859 Rv0860 Rv0888 Rv0905 Rv0914c Rv0946c Rv0983 Rv1001 Rv1008 Rv1021 Rv1023 Rv1062 Rv1063c Rv1070c Rv1074c Rv1090 Rv1102c Rv1106c Rv1107c Rv1108c Rv1130 Rv1136 Rv1187 Rv1188 Rv1246c Rv1323 Rv1331 Rv1340 Rv1341 Rv1354c Rv1357c Rv1381 Rv1391 Rv1395 Rv1408 Rv1436 Rv1437 Rv1438 Rv1472 Rv1497 Rv1538c Rv1562c Rv1563c Rv1564c Rv1592c Rv1596 Rv1604 Rv1617 Rv1618 Rv1627c Rv1692 Rv1716 Rv1718 Rv1755c Rv1826 Rv1832 Rv1837c Rv1848 Rv1849 Rv1850 Rv1867 Rv1963c Rv1984c Rv1991c Rv2029c Rv2037c Rv2068c Rv2092c Rv2097c Rv2109c Rv2110c Rv2111c Rv2112c Rv2115c Rv2211c Rv2215 Rv2216 Rv2228c Rv2241 Rv2247 Rv2266 Rv2289 Rv2322c Rv2344c Rv2402 Rv2416c Rv2436 Rv2457c Rv2476c Rv2486 Rv2549c Rv2565 Rv2579 Rv2589 Rv2605c Rv2613c Rv2697c Rv2701c Rv2764c Rv2780 Rv2783c Rv2790c Rv2801c Rv2866 Rv2902c Rv2925c Rv2982c Rv3010c Rv3039c Rv3068c Rv3082c Rv3091 Rv3097c Rv3121 Rv3194c Rv3203 Rv3225c Rv3239c Rv3248c Rv3252c Rv3280 Rv3307 Rv3310 Rv3313c Rv3315c Rv3332 Rv3358 Rv3373 Rv3393 Rv3411c Rv3452 Rv3479 Rv3504 Rv3505 Rv3516 Rv3518c Rv3526 Rv3537 Rv3543c Rv3544c Rv3545c Rv3546 Rv3550 Rv3567c Rv3568c Rv3569c Rv3570c Rv3571 Rv3573c Rv3592 Rv3594 Rv3610c Rv3696c Rv3700c Rv3701c Rv3702c Rv3703c Rv3717 Rv3728 Rv3736 Rv3799c Rv3802c Rv3811 Rv3833 Rv3915
GO:0009605	response to external stimulus	Rv0003 Rv0014c Rv0017c Rv0137c Rv0146 Rv0165c Rv0169 Rv0211 Rv0212c Rv0244c Rv0249c Rv0264c Rv0282 Rv0336 Rv0351 Rv0404 Rv0410c Rv0431 Rv0432 Rv0442c Rv0458 Rv0467 Rv0468 Rv0470c Rv0503c Rv0515 Rv0549c Rv0550c Rv0560c Rv0573c Rv0586 Rv0638 Rv0732 Rv0792c Rv0798c Rv0824c Rv0918 Rv0927c Rv0928 Rv0931c Rv0934 Rv0986 Rv1000c Rv1028A Rv1093 Rv1129c Rv1146 Rv1169c Rv1221 Rv1249c Rv1266c Rv1270c Rv1280c Rv1281c Rv1282c Rv1283c Rv1285 Rv1286 Rv1323 Rv1348 Rv1349 Rv1361c Rv1378c Rv1420 Rv1426c Rv1440 Rv1462 Rv1506c Rv1522c Rv1542c Rv1544 Rv1560 Rv1561 Rv1590 Rv1633 Rv1638 Rv1702c Rv1738 Rv1818c Rv1819c Rv1821 Rv1860 Rv1875 Rv1886c Rv1908c Rv1917c Rv1932 Rv1980c Rv2007c Rv2031c Rv2032 Rv2051c Rv2082 Rv2100 Rv2122c Rv2123 Rv2171 Rv2206 Rv2220 Rv2224c Rv2234 Rv2238c Rv2259 Rv2269c Rv2284 Rv2295 Rv2301 Rv2307c Rv2336 Rv2339 Rv2383c Rv2384 Rv2386c Rv2416c Rv2428 Rv2462c Rv2506 Rv2557 Rv2558 Rv2583c Rv2586c Rv2587c Rv2592c Rv2593c Rv2594c Rv2608 Rv2626c Rv2720 Rv2737c Rv2745c Rv2816c Rv2817c Rv2818c Rv2819c Rv2820c Rv2821c Rv2822c Rv2823c Rv2824c Rv2873 Rv2895c Rv2928 Rv2930 Rv2938 Rv2941 Rv2942 Rv2958c Rv2962c Rv2984 Rv2986c Rv3063 Rv3074 Rv3087 Rv3111 Rv3156 Rv3191c Rv3206c Rv3237c Rv3240c Rv3286c Rv3321c Rv3343c Rv3347c Rv3370c Rv3377c Rv3378c Rv3402c Rv3417c Rv3487c Rv3515c Rv3516 Rv3583c Rv3597c Rv3615c Rv3756c Rv3757c Rv3758c Rv3759c Rv3761c Rv3763 Rv3765c Rv3776 Rv3825c Rv3846 Rv3849 Rv3867 Rv3869 Rv3870 Rv3871 Rv3875 Rv3877 Rv3880c Rv3887c Rv3914
GO:0051186	cofactor metabolic process	Rv0046c Rv0070c Rv0155 Rv0156 Rv0212c Rv0254c Rv0255c Rv0259c Rv0266c Rv0363c Rv0408 Rv0409 Rv0414c Rv0417 Rv0422c Rv0423c Rv0438c Rv0462 Rv0470c Rv0486 Rv0489 Rv0503c Rv0509 Rv0510 Rv0511 Rv0512 Rv0524 Rv0533c Rv0534c Rv0542c Rv0548c Rv0553 Rv0555 Rv0558 Rv0561c Rv0573c Rv0754 Rv0773c Rv0802c Rv0812 Rv0819 Rv0864 Rv0866 Rv0869c Rv0884c Rv0946c Rv0956 Rv0992c Rv0994 Rv1005c Rv1023 Rv1082 Rv1092c Rv1093 Rv1121 Rv1122 Rv1143 Rv1159.1 Rv1170 Rv1173 Rv1207 Rv1240 Rv1248c Rv1314c Rv1330c Rv1344 Rv1346 Rv1347c Rv1391 Rv1392 Rv1408 Rv1436 Rv1437 Rv1438 Rv1445c Rv1447c Rv1448c Rv1451 Rv1456c Rv1461 Rv1462 Rv1465 Rv1485 Rv1568 Rv1569 Rv1570 Rv1589 Rv1594 Rv1595 Rv1596 Rv1617 Rv1618 Rv1631 Rv1695 Rv1697 Rv1712 Rv1771 Rv1837c Rv1844c Rv1908c Rv2029c Rv2043c Rv2062c Rv2065 Rv2066 Rv2070c Rv2071c Rv2072c Rv2130c Rv2204c Rv2207 Rv2208 Rv2215 Rv2217 Rv2218 Rv2225 Rv2228c Rv2236c Rv2241 Rv2244 Rv2378c Rv2383c Rv2384 Rv2386c Rv2388c Rv2393 Rv2421c Rv2438c Rv2447c Rv2453c Rv2465c Rv2476c Rv2573 Rv2604c Rv2605c Rv2606c Rv2607 Rv2677c Rv2678c Rv2711 Rv2763c Rv2786c Rv2794c Rv2847c Rv2848c Rv2849c Rv2855 Rv2899c Rv2965c Rv2977c Rv2983 Rv3010c Rv3025c Rv3109 Rv3110 Rv3111 Rv3112 Rv3119 Rv3124 Rv3137 Rv3215 Rv3248c Rv3261 Rv3262 Rv3310 Rv3323c Rv3324c Rv3356c Rv3392c Rv3592 Rv3600c Rv3601c Rv3602c Rv3606c Rv3607c Rv3608c Rv3609c Rv3667 Rv3702c Rv3704c Rv3713
GO:0008610	lipid biosynthetic process	Rv0033 Rv0035 Rv0046c Rv0098 Rv0111 Rv0129c Rv0130 Rv0221 Rv0228 Rv0241c Rv0295c Rv0404 Rv0405 Rv0436c Rv0437c Rv0447c Rv0466 Rv0468 Rv0469 Rv0470c Rv0503c Rv0533c Rv0557 Rv0562 Rv0564c Rv0637 Rv0642c Rv0643c Rv0644c Rv0645c Rv0649 Rv0669c Rv0757 Rv0764c Rv0785 Rv0824c Rv0895 Rv0904c Rv0974c Rv0989c Rv1011 Rv1013 Rv1018c Rv1086 Rv1087A Rv1094 Rv1106c Rv1110 Rv1159 Rv1166 Rv1180 Rv1181 Rv1182 Rv1185c Rv1206 Rv1254 Rv1344 Rv1345 Rv1372 Rv1373 Rv1425 Rv1483 Rv1484 Rv1506c Rv1521 Rv1527c Rv1529 Rv1551 Rv1565c Rv1640c Rv1660 Rv1662 Rv1663 Rv1665 Rv1745c Rv1750c Rv1760 Rv1814 Rv1822 Rv1925 Rv2001 Rv2051c Rv2173 Rv2174 Rv2181 Rv2187 Rv2188c Rv2217 Rv2218 Rv2243 Rv2244 Rv2245 Rv2246 Rv2247 Rv2252 Rv2267c Rv2285 Rv2289 Rv2361c Rv2383c Rv2482c Rv2484c Rv2501c Rv2523c Rv2524c Rv2610c Rv2611c Rv2612c Rv2682c Rv2746c Rv2868c Rv2870c Rv2881c Rv2928 Rv2930 Rv2931 Rv2932 Rv2933 Rv2934 Rv2935 Rv2937 Rv2939 Rv2941 Rv2946c Rv2947c Rv2948c Rv2950c Rv2953 Rv2957 Rv2958c Rv2959c Rv2962c Rv2982c Rv3032 Rv3087 Rv3088 Rv3089 Rv3130c Rv3229c Rv3233c Rv3234c Rv3257c Rv3371 Rv3377c Rv3378c Rv3379c Rv3382c Rv3383c Rv3392c Rv3397c Rv3398c Rv3409c Rv3480c Rv3506 Rv3515c Rv3526 Rv3537 Rv3567c Rv3569c Rv3570c Rv3571 Rv3581c Rv3582c Rv3631 Rv3720 Rv3734c Rv3740c Rv3779 Rv3793 Rv3801c Rv3806c Rv3808c Rv3820c Rv3823c Rv3824c Rv3825c Rv3826
GO:0044267	cellular protein metabolic process	Rv0009 Rv0014c Rv0015c Rv0018c Rv0041 Rv0053 Rv0055 Rv0056 Rv0105c Rv0148 Rv0153c Rv0350 Rv0410c Rv0429c Rv0438c Rv0490 Rv0510 Rv0584 Rv0600c Rv0601c Rv0634B Rv0640 Rv0641 Rv0647c Rv0648 Rv0651 Rv0652 Rv0682 Rv0683 Rv0684 Rv0685 Rv0688 Rv0700 Rv0701 Rv0702 Rv0703 Rv0704 Rv0705 Rv0706 Rv0707 Rv0708 Rv0709 Rv0710 Rv0714 Rv0715 Rv0716 Rv0717 Rv0718 Rv0719 Rv0720 Rv0721 Rv0722 Rv0723 Rv0724 Rv0734 Rv0758 Rv0845 Rv0902c Rv0931c Rv0979.1c Rv0982 Rv0994 Rv1001 Rv1002c Rv1007c Rv1015c Rv1028c Rv1032c Rv1139c Rv1151c Rv1266c Rv1292 Rv1298 Rv1299 Rv1300 Rv1364c Rv1406 Rv1536 Rv1539 Rv1641 Rv1642 Rv1643 Rv1649 Rv1650 Rv1689 Rv1743 Rv1746 Rv1827 Rv2027c Rv2031c Rv2055c Rv2056c Rv2057c Rv2058c Rv2072c Rv2088 Rv2097c Rv2111c Rv2112c Rv2175c Rv2176 Rv2210c Rv2217 Rv2218 Rv2224c Rv2232 Rv2234 Rv2357c Rv2404c Rv2412 Rv2440c Rv2441c Rv2442c Rv2445c Rv2448c Rv2462c Rv2477c Rv2534c Rv2555c Rv2572c Rv2580c Rv2582 Rv2614c Rv2674 Rv2775 Rv2785c Rv2839c Rv2842c Rv2845c Rv2851c Rv2861c Rv2882c Rv2889c Rv2890c Rv2904c Rv2909c Rv2914c Rv2984 Rv2992c Rv2998A Rv3009c Rv3011c Rv3012c Rv3042c Rv3052c Rv3080c Rv3105c Rv3132c Rv3220c Rv3232c Rv3245c Rv3246c Rv3255c Rv3279c Rv3336c Rv3365c Rv3404c Rv3420c Rv3423.1 Rv3436c Rv3442c Rv3443c Rv3456c Rv3458c Rv3459c Rv3460c Rv3461c Rv3462c Rv3580c Rv3598c Rv3701c Rv3764c Rv3834c Rv3924c
GO:0055085	transmembrane transport	Rv0037c Rv0107c Rv0143c Rv0191 Rv0194 Rv0205 Rv0261c Rv0267 Rv0318c Rv0342 Rv0346c Rv0362 Rv0425c Rv0488 Rv0522 Rv0545c Rv0613c Rv0638 Rv0757 Rv0783c Rv0820 Rv0842 Rv0849 Rv0876c Rv0888 Rv0899 Rv0908 Rv0917 Rv0924c Rv0928 Rv0929 Rv0930 Rv0932c Rv0933 Rv0934 Rv0935 Rv0936 Rv0985c Rv1028A Rv1029 Rv1030 Rv1031 Rv1101c Rv1200 Rv1224 Rv1236 Rv1237 Rv1239c Rv1244 Rv1250 Rv1258c Rv1272c Rv1273c Rv1280c Rv1282c Rv1283c Rv1304 Rv1305 Rv1306 Rv1307 Rv1308 Rv1309 Rv1310 Rv1311 Rv1348 Rv1349 Rv1410c Rv1440 Rv1457c Rv1607 Rv1620c Rv1621c Rv1634 Rv1672c Rv1686c Rv1698 Rv1704c Rv1707 Rv1735c Rv1737c Rv1739c Rv1747 Rv1819c Rv1821 Rv1858 Rv1877 Rv1902c Rv1979c Rv1986 Rv1997 Rv1999c Rv2025c Rv2038c Rv2039c Rv2040c Rv2060 Rv2093c Rv2127 Rv2193 Rv2199c Rv2200c Rv2265 Rv2281 Rv2287 Rv2316 Rv2317 Rv2320c Rv2329c Rv2333c Rv2395 Rv2397c Rv2398c Rv2399c Rv2400c Rv2434c Rv2443 Rv2456c Rv2459 Rv2586c Rv2587c Rv2643 Rv2684 Rv2685 Rv2686c Rv2687c Rv2688c Rv2690c Rv2691 Rv2692 Rv2713 Rv2834c Rv2835c Rv2836c Rv2846c Rv2856 Rv2920c Rv2936 Rv2937 Rv2938 Rv2942 Rv2994 Rv3000 Rv3043c Rv3065 Rv3069 Rv3070 Rv3104c Rv3236c Rv3237c Rv3239c Rv3240c Rv3253c Rv3271c Rv3273 Rv3331 Rv3476c Rv3614c Rv3615c Rv3616c Rv3664c Rv3665c Rv3666c Rv3728 Rv3756c Rv3757c Rv3759c Rv3870 Rv3871 Rv3874 Rv3875 Rv3876 Rv3881c Rv3903c Rv3910
GO:0006520	cellular amino acid metabolic process	Rv0013 Rv0041 Rv0070c Rv0091 Rv0189c Rv0255c Rv0391 Rv0410c Rv0500 Rv0535 Rv0734 Rv0751c Rv0788 Rv0808 Rv0848 Rv0858c Rv0884c Rv0948c Rv1001 Rv1007c Rv1059 Rv1077 Rv1079 Rv1093 Rv1133c Rv1187 Rv1188 Rv1201c Rv1202 Rv1292 Rv1293 Rv1294 Rv1295 Rv1296 Rv1334 Rv1335 Rv1336 Rv1380 Rv1383 Rv1384 Rv1464 Rv1536 Rv1538c Rv1559 Rv1594 Rv1599 Rv1600 Rv1601 Rv1602 Rv1603 Rv1605 Rv1606 Rv1609 Rv1611 Rv1612 Rv1613 Rv1640c Rv1649 Rv1650 Rv1652 Rv1653 Rv1654 Rv1655 Rv1656 Rv1657 Rv1658 Rv1659 Rv1689 Rv1699 Rv1712 Rv1716 Rv1718 Rv1820 Rv1826 Rv1832 Rv1905c Rv2007c Rv2121c Rv2122c Rv2124c Rv2130c Rv2178c Rv2192c Rv2201 Rv2210c Rv2211c Rv2220 Rv2222c Rv2294 Rv2334 Rv2335 Rv2357c Rv2386c Rv2391 Rv2392 Rv2421c Rv2427c Rv2439c Rv2448c Rv2458 Rv2476c Rv2537c Rv2538c Rv2539c Rv2540c Rv2555c Rv2572c Rv2573 Rv2580c Rv2589 Rv2604c Rv2614c Rv2726c Rv2747 Rv2753c Rv2763c Rv2773c Rv2780 Rv2845c Rv2848c Rv2859c Rv2860c Rv2861c Rv2987c Rv2988c Rv2992c Rv2995c Rv2996c Rv3001c Rv3002c Rv3003c Rv3009c Rv3015c Rv3042c Rv3137 Rv3206c Rv3227 Rv3248c Rv3336c Rv3340 Rv3341 Rv3356c Rv3396c Rv3423c Rv3432c Rv3436c Rv3470c Rv3509c Rv3580c Rv3598c Rv3601c Rv3602c Rv3700c Rv3701c Rv3702c Rv3703c Rv3704c Rv3708c Rv3709c Rv3710 Rv3713 Rv3754 Rv3772 Rv3834c Rv3838c Rv3858c Rv3859c Rv3914
GO:0009405	pathogenesis	Rv0014c Rv0015c Rv0022c Rv0046c Rv0072 Rv0079 Rv0159c Rv0183 Rv0202c Rv0251c Rv0285 Rv0287 Rv0288 Rv0311 Rv0386 Rv0405 Rv0410c Rv0450c Rv0451c Rv0462 Rv0467 Rv0470c Rv0475 Rv0485 Rv0490 Rv0491 Rv0557 Rv0561c Rv0577 Rv0677c Rv0735 Rv0736 Rv0754 Rv0757 Rv0805 Rv0867c Rv0931c Rv0932c Rv0934 Rv0969 Rv0978c Rv0981 Rv0982 Rv0983 Rv0986 Rv1009 Rv1088 Rv1089 Rv1159 Rv1166 Rv1195 Rv1196 Rv1198 Rv1221 Rv1235 Rv1238 Rv1290c Rv1348 Rv1349 Rv1386 Rv1410c Rv1411c Rv1527c Rv1539 Rv1640c Rv1651c Rv1661 Rv1694 Rv1743 Rv1755c Rv1789 Rv1818c Rv1821 Rv1884c Rv1891 Rv1908c Rv1917c Rv1931c Rv1932 Rv2069 Rv2097c Rv2109c Rv2110c Rv2112c Rv2115c Rv2181 Rv2188c Rv2215 Rv2220 Rv2224c Rv2234 Rv2346c Rv2349c Rv2350c Rv2351c Rv2383c Rv2389c Rv2430c Rv2431c Rv2450c Rv2583c Rv2610c Rv2623 Rv2703 Rv2741 Rv2914c Rv2942 Rv2945c Rv2958c Rv2984 Rv3080c Rv3082c Rv3131 Rv3133c Rv3151 Rv3303c Rv3310 Rv3312.1 Rv3364c Rv3404c Rv3409c Rv3414c Rv3416 Rv3425 Rv3444c Rv3495c Rv3504 Rv3505 Rv3518c Rv3526 Rv3543c Rv3544c Rv3545c Rv3546 Rv3568c Rv3571 Rv3573c Rv3583c Rv3597c Rv3601c Rv3602c Rv3614c Rv3615c Rv3616c Rv3619c Rv3654c Rv3655c Rv3671c Rv3676 Rv3708c Rv3723 Rv3763 Rv3810 Rv3846 Rv3849 Rv3870 Rv3871 Rv3872 Rv3873 Rv3874 Rv3875 Rv3876 Rv3878 Rv3881c Rv3883c Rv3903c
GO:0055086	nucleobase containing small molecule metabolic process	Rv0001 Rv0091 Rv0115 Rv0155 Rv0156 Rv0212c Rv0295c Rv0321 Rv0334 Rv0357c Rv0363c Rv0382c Rv0386 Rv0389 Rv0438c Rv0462 Rv0478 Rv0489 Rv0535 Rv0571c Rv0573c Rv0733 Rv0754 Rv0772 Rv0777 Rv0780 Rv0787A Rv0788 Rv0803 Rv0805 Rv0808 Rv0809 Rv0866 Rv0891c Rv0946c Rv0956 Rv0957 Rv0993 Rv0994 Rv1017c Rv1018c Rv1021 Rv1023 Rv1092c Rv1120c Rv1121 Rv1122 Rv1208 Rv1232c Rv1240 Rv1264 Rv1304 Rv1305 Rv1306 Rv1307 Rv1308 Rv1309 Rv1310 Rv1311 Rv1315 Rv1318c Rv1319c Rv1320c Rv1330c Rv1341 Rv1354c Rv1357c Rv1366 Rv1379 Rv1380 Rv1381 Rv1383 Rv1384 Rv1385 Rv1389 Rv1391 Rv1408 Rv1436 Rv1437 Rv1438 Rv1445c Rv1447c Rv1448c Rv1508A Rv1511 Rv1512 Rv1594 Rv1595 Rv1596 Rv1617 Rv1625c Rv1631 Rv1647 Rv1695 Rv1699 Rv1712 Rv1837c Rv1843c Rv1844c Rv1900c Rv1981c Rv2029c Rv2030c Rv2043c Rv2131c Rv2139 Rv2143 Rv2202c Rv2207 Rv2212 Rv2215 Rv2241 Rv2292c Rv2293c Rv2344c Rv2357c Rv2421c Rv2435c Rv2438c Rv2445c Rv2465c Rv2488c Rv2583c Rv2584c Rv2613c Rv2697c Rv2754c Rv2764c Rv2786c Rv2883c Rv2964 Rv2965c Rv3010c Rv3043c Rv3048c Rv3051c Rv3119 Rv3124 Rv3232c Rv3242c Rv3247c Rv3248c Rv3255c Rv3266c Rv3275c Rv3276c Rv3307 Rv3309c Rv3310 Rv3313c Rv3314c Rv3315c Rv3323c Rv3356c Rv3393 Rv3396c Rv3410c Rv3411c Rv3436c Rv3464 Rv3465 Rv3600c Rv3624c Rv3645 Rv3672c Rv3808c
GO:1901137	carbohydrate derivative biosynthetic process	Rv0001 Rv0014c Rv0016c Rv0033 Rv0046c Rv0050 Rv0111 Rv0113 Rv0115 Rv0116c Rv0129c Rv0192 Rv0228 Rv0321 Rv0334 Rv0357c Rv0363c Rv0382c Rv0386 Rv0389 Rv0462 Rv0482 Rv0483 Rv0486 Rv0489 Rv0535 Rv0557 Rv0733 Rv0754 Rv0757 Rv0772 Rv0777 Rv0780 Rv0787A Rv0788 Rv0803 Rv0808 Rv0809 Rv0819 Rv0946c Rv0956 Rv0957 Rv1017c Rv1018c Rv1023 Rv1092c Rv1159 Rv1166 Rv1170 Rv1182 Rv1232c Rv1254 Rv1264 Rv1304 Rv1305 Rv1306 Rv1307 Rv1308 Rv1309 Rv1310 Rv1311 Rv1315 Rv1318c Rv1319c Rv1320c Rv1338 Rv1344 Rv1380 Rv1381 Rv1383 Rv1384 Rv1385 Rv1391 Rv1433 Rv1436 Rv1437 Rv1438 Rv1506c Rv1512 Rv1565c Rv1617 Rv1625c Rv1631 Rv1647 Rv1699 Rv1900c Rv1981c Rv2029c Rv2051c Rv2130c Rv2136c Rv2139 Rv2152c Rv2153c Rv2154c Rv2155c Rv2156c Rv2157c Rv2158c Rv2163c Rv2174 Rv2181 Rv2188c Rv2202c Rv2207 Rv2212 Rv2215 Rv2241 Rv2244 Rv2252 Rv2435c Rv2445c Rv2518c Rv2553c Rv2583c Rv2584c Rv2610c Rv2611c Rv2682c Rv2697c Rv2754c Rv2764c Rv2786c Rv2883c Rv2947c Rv2948c Rv2953 Rv2957 Rv2958c Rv2959c Rv2962c Rv2964 Rv2965c Rv2981c Rv3010c Rv3032 Rv3048c Rv3051c Rv3137 Rv3232c Rv3247c Rv3255c Rv3257c Rv3266c Rv3275c Rv3276c Rv3309c Rv3313c Rv3315c Rv3396c Rv3410c Rv3411c Rv3423c Rv3436c Rv3464 Rv3465 Rv3571 Rv3600c Rv3624c Rv3631 Rv3779 Rv3793 Rv3806c Rv3808c Rv3910
