# only the first 2 columns are required
Rv0001	L	dnaA	Replication, recombination and repair 
Rv0002	L	dnaN	Replication, recombination and repair 
Rv0003	L	recF	Replication, recombination and repair 
Rv0004	R	-	General function prediction only 
Rv0005	L	gyrB	Replication, recombination and repair 
Rv0006	L	gyrA	Replication, recombination and repair 
Rv0009	O	ppiA	Posttranslational modification, protein turnover, chaperones 
Rv0012	S	-	Function unknown 
Rv0013	H	trpG	Coenzyme transport and metabolism 
Rv0014c	L	pknB	Replication, recombination and repair 
Rv0014c	S	pknB	Function unknown 
Rv0015c	L	pknA	Replication, recombination and repair 
Rv0016c	M	pbpA	Cell wall/membrane/envelope biogenesis 
Rv0017c	D	rodA	Cell cycle control, cell division, chromosome partitioning 
Rv0018c	T	ppp	Signal transduction mechanisms 
Rv0019c	T	-	Signal transduction mechanisms 
Rv0020c	T	TB39.8	Signal transduction mechanisms 
Rv0021c	R	-	General function prediction only 
Rv0023	K	-	Transcription 
Rv0024	M	-	Cell wall/membrane/envelope biogenesis 
Rv0032	H	bioF2	Coenzyme transport and metabolism 
Rv0033	Q	acpA	Secondary metabolites biosynthesis, transport and catabolism 
Rv0034	R	-	General function prediction only 
Rv0035	Q	fadD34	Secondary metabolites biosynthesis, transport and catabolism 
Rv0037c	R	-	General function prediction only 
Rv0038	K	-	Transcription 
Rv0041	J	leuS	Translation, ribosomal structure and biogenesis 
Rv0042c	K	-	Transcription 
Rv0043c	K	-	Transcription 
Rv0044c	C	-	Energy production and conversion 
Rv0045c	R	-	General function prediction only 
Rv0046c	I	ino1	Lipid transport and metabolism 
Rv0047c	K	-	Transcription 
Rv0050	M	ponA1	Cell wall/membrane/envelope biogenesis 
Rv0051	S	-	Function unknown 
Rv0052	R	-	General function prediction only 
Rv0053	J	rpsF	Translation, ribosomal structure and biogenesis 
Rv0054	L	ssb	Replication, recombination and repair 
Rv0055	J	rpsR	Translation, ribosomal structure and biogenesis 
Rv0056	J	rplI	Translation, ribosomal structure and biogenesis 
Rv0058	L	dnaB	Replication, recombination and repair 
Rv0060	R	-	General function prediction only 
Rv0062	G	celA1	Carbohydrate transport and metabolism 
Rv0063	C	-	Energy production and conversion 
Rv0064	S	-	Function unknown 
Rv0065	R	-	General function prediction only 
Rv0066c	C	icd2	Energy production and conversion 
Rv0067c	K	-	Transcription 
Rv0068	R	-	General function prediction only 
Rv0069c	E	sdaA	Amino acid transport and metabolism 
Rv0070c	E	glyA2	Amino acid transport and metabolism 
Rv0071	L	-	Replication, recombination and repair 
Rv0072	V	-	Defense mechanisms 
Rv0073	V	-	Defense mechanisms 
Rv0074	Q	-	Secondary metabolites biosynthesis, transport and catabolism 
Rv0075	E	-	Amino acid transport and metabolism 
Rv0077c	R	-	General function prediction only 
Rv0078	K	-	Transcription 
Rv0079	J	-	Translation, ribosomal structure and biogenesis 
Rv0081	K	-	Transcription 
Rv0082	C	-	Energy production and conversion 
Rv0083	P	-	Inorganic ion transport and metabolism 
Rv0084	C	hycD	Energy production and conversion 
Rv0085	C	hycP	Energy production and conversion 
Rv0086	P	hycQ	Inorganic ion transport and metabolism 
Rv0087	C	hycE	Energy production and conversion 
