#Resampling
#Command: python ignoreNTerm=5.0 ctrlString=/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig pubmsg=<bound method Publisher.sendMessage of <wx.lib.pubsub.core.publisher.Publisher instance at 0x3984290>> expString=/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig,/pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig ignoreCodon=True annotationPath=/pacific/home/mdejesus/transit/H37Rv.prot_table ignoreCTerm=5.0 histPath=/pacific/home/mdejesus/transit/testNC/resampling_results sampleSize=10000 doAdaptive=False output=<open file u'/pacific/home/mdejesus/transit/testNC/resampling_results.dat', mode 'w' at 0x41d4c90> doNormalize=True wx=<module 'wx' from '/usr/lib/python2.7/dist-packages/wx/__init__.pyc'>
#Control Samples:  /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/glycerol_reads_rep2.wig
#Experimental Samples:  /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep1.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep2.wig, /pacific/home/mdejesus/transit/tutorial/cholesterol_reads_rep3.wig
#Normalization factors: 1.0946	0.8477	1.1728	1.1715	0.8330
#Orf	%Name	Description	N	TAs Hit	Avg Rd 1	Avg Rd 2	Delta Rd	p-value	p-adj
Rv0001	dnaA	chromosomal replication initiation protein 	29	0	0.0	0.0	0.0	1.00000	1.00000
Rv0002	dnaN	DNA polymerase III subunit beta 	27	0	0.0	0.0	0.0	1.00000	1.00000
Rv0003	recF	recombination protein F 	33	14	528.0	790.2	262.2	0.54850	1.00000
Rv0004	-	hypothetical protein Rv0004 	5	0	0.0	0.0	0.0	1.00000	1.00000
Rv0005	gyrB	DNA gyrase subunit B 	38	0	0.0	0.0	0.0	1.00000	1.00000
Rv0006	gyrA	DNA gyrase subunit A 	42	0	0.0	0.0	0.0	1.00000	1.00000
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	4	151.4	512.5	361.1	0.38460	1.00000
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	3	759.1	671.5	-87.6	0.86220	1.00000
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	6	6	600.9	138.9	-462.0	0.06530	1.00000
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	7	1532.0	1473.2	-58.7	0.95920	1.00000
Rv0011c	-	putative septation inhibitor protein 	3	0	0.0	0.0	0.0	1.00000	1.00000
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	14	10	2408.5	869.3	-1539.1	0.10750	1.00000
Rv0013	trpG	para-aminobenzoate synthase component II 	13	1	0.0	43.4	43.4	1.00000	1.00000
