#HMM - Genes
#Orf	Name	Desc	N	n0	n1	n2	n3	Avg. Insertions	Avg. Reads	State Call
Rv0001	dnaA	chromosomal replication initiation protein 	29	29	0	0	0	0.0000	0.0	ES
Rv0002	dnaN	DNA polymerase III subunit beta 	27	27	0	0	0	0.0000	0.0	ES
Rv0003	recF	recombination protein F 	33	5	0	28	0	0.3333	53.4	NE
Rv0004	-	hypothetical protein Rv0004 	5	5	0	0	0	0.0000	0.0	ES
Rv0005	gyrB	DNA gyrase subunit B 	38	38	0	0	0	0.0000	0.0	ES
Rv0006	gyrA	DNA gyrase subunit A 	42	42	0	0	0	0.0000	0.0	ES
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	10	0	0	10	0	0.3000	58.7	NE
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	4	0	0	4	0	0.7500	259.0	NE
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	6	0	0	6	0	1.0000	106.8	NE
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	0	0	10	0	0.6000	275.7	NE
Rv0011c	-	putative septation inhibitor protein 	3	0	0	3	0	0.0000	0.0	NE
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	14	0	0	14	0	0.7143	260.7	NE
Rv0013	trpG	para-aminobenzoate synthase component II 	13	13	0	0	0	0.0000	0.0	ES
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	22	22	0	0	0	0.0000	0.0	ES
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	13	0	13	0	0	0.0000	0.0	GD
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	34	0	33	1	0	0.3235	42.9	GD
