Significant Interactions	Orf	Gene	Nobs	intercept	coefficient sgRNA_strength	coefficient concentration dependence	pval intercept	pval sgRNA_strength	pval concentration dependence	qval concentration dependence	Z score of concentration dependence
0	RVBD3543c	fadE29	7	0.990085	0.151423	0.011221	0.0	0.0	0.488677	0.589492	2.306585
0	RVBD1896c	RVBD1896c	8	1.102703	-0.271805	0.035962	0.0	0.050907	0.083268	0.135177	7.419166
-1	RVBD1978	RVBD1978	8	0.767734	0.261056	-0.05559	0.0	0.0	0.004189	0.009774	-11.499512
0	RVBD3749c	RVBD3749c	7	0.812093	0.416123	-0.038355	0.0	0.001712	0.094693	0.151112	-7.938001
-1	RVBD1533	RVBD1533	6	0.429857	0.167201	-0.090914	2.7e-05	8.3e-05	0.000455	0.001331	-18.799007
1	RVBD3153	nuoI	5	0.982092	0.127726	0.097198	0.0	0.0	0.000746	0.002082	20.073223
0	RVBD3812	PE-PGRS62	19	0.906113	0.206759	-0.008372	0.0	0.000119	0.583216	0.674766	-1.742192
0	RVBD0395	RVBD0395	7	1.132872	0.249705	0.03745	0.0	0.0	0.036868	0.067077	7.726653
0	RVBD0973c	accA2	13	1.123711	0.40198	0.036828	0.0	0.000228	0.053349	0.092758	7.59812
0	RVBD2307D	RVBD2307D	5	0.761405	0.146002	-0.013444	0.0	1e-06	0.397025	0.497235	-2.790291
0	RVBD2306B	RVBD2306B	1	-1.468868	-0.112489	0.003175	0.000125	1.0	1.0	1.0	0.643927
0	RVBD0135c	RVBD0135c	5	0.805245	0.136	-0.020351	0.0	0.0	0.488943	0.589492	-4.217581
-1	RVBD2748c	ftsK	224	0.567295	0.112426	-0.042998	0.0	0.0	0.0	0.0	-8.89745
1	RVBD2892c	PPE45	6	1.248513	0.280992	0.06325	0.0	0.0	0.008751	0.018861	13.05807
1	RVBD3443c	rplM	32	1.517968	0.114805	0.160803	0.0	0.0	1.1e-05	4.2e-05	33.216819
1	RVBD0089	RVBD0089	5	1.555611	0.143763	0.139766	0.0	0.014934	0.0	0.0	28.869648
0	Negative	Negative2	98	0.539209	-0.130074	-0.001542	0.0	4e-06	0.795237	0.846181	-0.330813
-1	tRNA-Arg18	tRNA-Arg18	13	0.085654	0.081169	-0.105883	0.465873	0.0	3.3e-05	0.000118	-21.892262
0	RVBD0749A	RVBD0749A	3	0.722599	-0.207466	-0.003229	8e-06	0.691774	0.930263	0.951211	-0.679421
0	RVBD3614c	espD	6	0.809592	0.232416	-0.040083	0.0	0.0	0.044059	0.078532	-8.295082
1	RVBD1838c	vapC13	8	1.187013	0.601839	0.052626	0.0	0.0	0.006325	0.014114	10.862683
0	Negative	Negative16	97	0.549954	-0.126187	0.001576	0.0	4e-06	0.782677	0.838079	0.313503
0	RVBD1859	modC	6	0.904905	0.200514	0.015524	0.0	0.0	0.365358	0.462886	3.195775
1	RVBD0290	eccD3	194	3.218544	0.166132	0.505546	0.0	0.0	0.0	0.0	104.455917
0	RVBD3008	RVBD3008	7	0.865162	0.534308	-0.048271	0.0	0.0	0.056526	0.097484	-9.987084
1	RVBD0835	lpqQ	5	1.018591	-0.031342	0.045103	0.0	0.72201	0.013329	0.02737	9.3081
1	RVBD0248c	RVBD0248c	6	2.924826	0.320888	0.443281	0.0	0.0	0.0	0.0	91.589224
1	RVBD2405	RVBD2405	6	1.786755	0.140887	0.175414	0.0	0.0	6e-06	2.3e-05	36.236096
1	RVBD3341	metA	77	1.08877	0.128262	0.069887	0.0	0.0	1e-06	4e-06	14.429567
0	RVBD3569c	hsaD	6	0.827731	0.259675	-0.047601	0.0	0.0	0.042602	0.076373	-9.848632
0	RVBD2184c	RVBD2184c	10	1.185208	0.320729	0.033385	0.0	0.0	0.028493	0.053403	6.886645
-1	RVBD0636	hadB	23	-0.571315	0.066577	-0.201708	0.0	0.0	0.0	0.0	-41.69393
-1	RVBD3224A	RVBD3224A	2	-0.17886	0.21935	-0.195733	0.17667	0.001028	7e-06	2.7e-05	-40.459232
1	RVBD3410c	guaB3	88	2.495475	0.111002	0.368403	0.0	0.0	0.0	0.0	76.116129
1	RVBD3648c	cspA	12	3.115401	0.32935	0.318595	0.0	0.0	0.0	0.0	65.823601
0	RVBD3596c	clpC1	176	0.358935	0.089744	-0.000886	0.0	0.0	0.930812	0.951303	-0.195254
1	RVBD1135c	PPE16	16	1.222445	0.43009	0.060714	0.0	0.0	2.8e-05	0.0001	12.534021
1	RVBD3071	RVBD3071	7	1.355658	0.412727	0.073238	0.0	0.0	0.00359	0.008534	15.122031
0	RVBD0294	tam	6	1.154575	0.291182	-0.031163	0.0	0.0	0.345217	0.442926	-6.451817
0	RVBD1069c	RVBD1069c	11	0.758766	0.130192	0.014321	0.0	5.8e-05	0.415162	0.515792	2.947182
0	RVBD0360c	RVBD0360c	6	0.915794	0.18921	0.011296	0.0	0.0	0.679482	0.753757	2.322084
0	RVBD2650c	RVBD2650c	120	0.952727	0.224466	0.000211	0.0	0.0	0.977089	0.98244	0.031434
-1	RVBD3579c	RVBD3579c	95	0.85	0.129429	-0.033858	0.0	0.0	2.2e-05	8.1e-05	-7.008723
0	RVBD3161c	RVBD3161c	9	0.960391	0.215692	0.03688	0.0	0.0	0.080268	0.131362	7.608866
1	RVBD2601A	vapB41	7	1.238698	0.346576	0.078851	0.0	0.000681	0.000587	0.001679	16.281924
1	RVBD0272c	RVBD0272c	8	1.263377	0.633249	0.046867	0.0	0.0	0.014925	0.030192	9.67262
-1	RVBD0051	RVBD0051	22	0.53057	0.168733	-0.073305	0.0	0.0	0.0	0.0	-15.160211
0	RVBD1028A	kdpF	6	0.988424	0.19341	0.015955	0.0	0.0	0.520984	0.619445	3.284838
0	RVBD3872	PE35	6	0.74733	0.084144	0.003407	0.0	0.229808	0.87609	0.912269	0.691869
0	RVBD0138	RVBD0138	8	1.119197	0.245312	0.027816	0.0	0.192918	0.457475	0.556214	5.735844
0	RVBD3427c	RVBD3427c	14	0.877695	0.21724	-0.005014	0.0	0.0	0.762379	0.822449	-1.048281
-1	RVBD3630	RVBD3630	15	-0.453812	0.159113	-0.260263	0.0	0.0	0.0	0.0	-53.793974
0	RVBD1049	RVBD1049	2	1.327814	-2.65605	0.064927	0.0	0.06636	0.147748	0.218351	13.404612
-1	RVBD1699	pyrG	176	0.54871	0.119651	-0.058592	0.0	0.0	0.0	0.0	-12.119857
0	RVBD1510	RVBD1510	13	0.806923	0.229965	-0.029576	0.0	0.0	0.088287	0.142238	-6.123873
0	RVBD2344c	dgt	8	1.047149	0.284934	-0.019025	0.0	0.0	0.120813	0.185045	-3.943571
-1	RVBD0987	RVBD0987	24	0.733537	0.170819	-0.070453	0.0	0.0	1e-06	4e-06	-14.570863
0	RVBD0833	PE-PGRS13	5	1.210989	0.707666	0.045277	0.0	0.0	0.172832	0.2486	9.344056
0	RVBD2403c	lppR	10	0.803426	0.237307	-0.010153	0.0	0.0	0.596147	0.687561	-2.110225
1	RVBD3157	nuoM	24	0.898256	0.235758	0.059913	0.0	0.0	5.1e-05	0.000176	12.368499
0	RVBD2392	cysH	66	1.035516	0.512895	0.014089	0.0	0.0	0.16384	0.237697	2.899241
0	RVBD0615	RVBD0615	5	0.846684	-0.09021	0.040602	0.0	0.251476	0.139779	0.208867	8.377995
1	RVBD0797	RVBD0797	5	1.293327	0.23602	0.092763	0.0	1e-06	0.006242	0.013952	19.156756
0	RVBD2341	lppQ	7	0.930103	0.300486	-0.009096	0.0	0.000119	0.73482	0.801496	-1.891802
1	RVBD2783c	gpsI	230	0.832202	0.114737	0.047621	0.0	0.0	0.0	0.0	9.82843
0	RVBD0719	rplF	36	-0.251971	0.052658	0.001087	0.001417	0.0	0.950301	0.963662	0.212454
0	RVBD3078	hab	5	0.784054	0.506181	-0.057419	0.0	0.0	0.071954	0.119745	-11.877464
1	RVBD3298c	lpqC	11	1.390113	0.638936	0.053363	0.0	0.0	0.001103	0.00298	11.01498
0	RVBD1320c	RVBD1320c	13	0.828168	0.40301	-0.029367	0.0	0.0	0.086154	0.139302	-6.080684
1	RVBD1686c	RVBD1686c	6	1.505703	0.278317	0.145078	0.0	0.000379	0.0	0.0	29.967341
1	RVBD3329	RVBD3329	9	1.188046	0.277666	0.067548	0.0	0.0	0.010932	0.023032	13.946226
1	RVBD2633c	RVBD2633c	8	1.375088	0.230533	0.105736	0.0	0.192223	0.0	0.0	21.83755
1	RVBD1744c	RVBD1744c	2	1.389661	0.555623	0.114698	0.0	0.135367	0.012305	0.025526	23.689494
0	RVBD0148	RVBD0148	7	1.053407	0.272841	0.004933	0.0	5e-06	0.777553	0.833872	1.007208
0	RVBD0741	RVBD0741	7	0.767591	0.173968	-0.004986	0.0	0.000325	0.820677	0.869091	-1.042495
0	RVBD1628c	RVBD1628c	5	0.924288	0.366068	-0.007124	0.0	0.002425	0.860711	0.902027	-1.4843
1	RVBD0923c	RVBD0923c	6	1.639637	-0.234013	0.164085	0.0	0.261333	0.000343	0.001032	33.895025
0	RVBD0886	fprB	7	1.057777	0.266608	0.014087	0.0	0.0	0.452097	0.551002	2.898827
1	RVBD1016c	lpqT	13	0.862773	-0.19402	0.070173	0.0	0.001732	4e-06	1.6e-05	14.488667
