#Gumbel
#Command used:	python transit.py
#FDR Corrected thresholds: 0.989800, 0.038400
#MH Acceptance-Rate:	45.72%
#Total Iterations Performed:	10499
#Sample Size:	10000
#phi estimate:	0.280561
#Time: 143.290342808
#Orf	Name	Desc	k	n	r	s	zbar	Call
Rv0001	dnaA	chromosomal replication initiation protein 	0	29	29	1323	1.000000	E
Rv0002	dnaN	DNA polymerase III subunit beta 	0	27	27	1006	1.000000	E
Rv0003	recF	recombination protein F 	11	33	7	71	0.000000	NE
Rv0004	-	hypothetical protein Rv0004 	0	5	5	299	0.992800	E
Rv0005	gyrB	DNA gyrase subunit B 	0	38	38	1822	1.000000	E
Rv0006	gyrA	DNA gyrase subunit A 	0	42	42	2156	1.000000	E
Rv0007	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	3	10	5	393	0.721300	U
Rv0008c	-	POSSIBLE MEMBRANE PROTEIN 	3	4	1	2	0.000000	NE
Rv0009	ppiA	PROBABLE IRON-REGULATED PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A PPIA (PPIase A) (ROTAMASE A) 	6	6	0	0	0.000000	NE
Rv0010c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	6	10	3	29	0.000000	NE
Rv0011c	-	putative septation inhibitor protein 	0	3	3	133	-1.000000	S
Rv0012	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	10	14	3	89	0.000000	NE
Rv0013	trpG	para-aminobenzoate synthase component II 	0	13	13	610	0.999900	E
Rv0014c	pknB	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE B PKNB (PROTEIN KINASE B) (STPK B) 	0	22	22	1562	1.000000	E
Rv0015c	pknA	TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE A PKNA (PROTEIN KINASE A) (STPK A) 	0	13	13	1109	1.000000	E
Rv0016c	pbpA	PROBABLE PENICILLIN-BINDING PROTEIN PBPA 	11	34	6	133	0.000000	NE
Rv0017c	rodA	PROBABLE CELL DIVISION PROTEIN RODA 	11	23	4	149	0.000000	NE
Rv0018c	ppp	POSSIBLE SERINE/THREONINE PHOSPHATASE PPP 	8	23	10	641	0.995800	E
Rv0019c	-	hypothetical protein Rv0019c 	7	12	2	20	0.000000	NE
Rv0020c	TB39.8	hypothetical protein Rv0020c 	6	50	42	1015	1.000000	E
Rv0021c	-	hypothetical protein Rv0021c 	16	18	1	2	0.000000	NE
Rv0022c	whiB5	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 	8	8	0	0	0.000000	NE
Rv0023	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	0	12	12	582	1.000000	E
Rv0024	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 	9	11	1	2	0.000000	NE
Rv0025	-	hypothetical protein Rv0025 	7	7	0	0	0.000000	NE
Rv0026	-	hypothetical protein Rv0026 	8	12	1	2	0.000000	NE
Rv0027	-	hypothetical protein Rv0027 	2	5	2	31	0.000000	NE
Rv0028	-	hypothetical protein Rv0028 	2	4	2	19	-1.000000	S
Rv0029	-	hypothetical protein Rv0029 	14	17	1	2	0.000000	NE
Rv0030	-	hypothetical protein Rv0030 	1	5	3	86	0.000900	NE
Rv0031	-	POSSIBLE REMNANT OF A TRANSPOSASE 	0	1	1	2	-1.000000	S
Rv0032	bioF2	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 	23	50	12	231	0.166800	U
Rv0033	acpA	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 	3	3	0	0	-1.000000	S
Rv0034	-	hypothetical protein Rv0034 	4	5	1	2	-1.000000	S
Rv0035	fadD34	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 	22	24	1	2	0.000000	NE
Rv0036c	-	hypothetical protein Rv0036c 	4	4	0	0	0.000000	NE
Rv0037c	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	10	17	4	335	0.212900	U
Rv0038	-	hypothetical protein Rv0038 	5	7	1	2	0.000000	NE
Rv0039c	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	2	4	2	25	0.000000	NE
Rv0040c	mtc28	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 	5	8	1	2	0.000000	NE
Rv0041	leuS	leucyl-tRNA synthetase 	0	66	66	2526	1.000000	E
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	3	5	1	2	0.000000	NE
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	6	7	1	2	0.000000	NE
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	16	19	1	2	0.000000	NE
Rv0045c	-	POSSIBLE HYDROLASE 	6	6	0	0	0.000000	NE
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	0	15	15	923	1.000000	E
Rv0047c	-	hypothetical protein Rv0047c 	3	7	2	56	0.000000	NE
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	13	14	1	2	0.000000	NE
Rv0049	-	hypothetical protein Rv0049 	4	6	1	2	0.000000	NE
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	10	33	5	188	0.000000	NE
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	33	2	22	0.000000	NE
Rv0052	-	hypothetical protein Rv0052 	5	6	1	2	0.000000	NE
Rv0053	rpsF	30S ribosomal protein S6 	0	5	5	215	0.994200	E
Rv0054	ssb	single-strand DNA-binding protein 	0	5	5	218	0.994100	E
Rv0055	rpsR	30S ribosomal protein S18 	1	4	3	69	0.000000	NE
Rv0056	rplI	50S ribosomal protein L9 	5	7	2	108	0.000000	NE
Rv0057	-	hypothetical protein Rv0057 	7	15	2	14	0.000000	NE
Rv0058	dnaB	replicative DNA helicase 	0	36	36	2292	1.000000	E
Rv0059	-	hypothetical protein Rv0059 	12	16	1	2	0.000000	NE
